"V1","V2"
"Direct-End",22781
"Direct-Social-End",276671
"Direct-Display-End",1495
"Direct-Affiliate-End",4959
"Direct-Paid Search-End",58475
"Direct-Organic Search-End",1657
"Direct-Display-Direct-End",2603
"Direct-Display-Social-End",20959
"Direct-Display-Affiliate-End",683
"Direct-Display-Paid Search-End",7083
"Direct-Display-Organic Search-End",773
"Direct-Affiliate-Direct-End",4739
"Direct-Affiliate-Social-End",16737
"Direct-Affiliate-Display-End",568
"Direct-Affiliate-Paid Search-End",10178
"Direct-Affiliate-Organic Search-End",335
"Direct-Paid Search-Direct-End",30849
"Direct-Paid Search-Social-End",196109
"Direct-Paid Search-Display-End",3394
"Direct-Paid Search-Affiliate-End",2300
"Direct-Paid Search-Organic Search-End",4629
"Direct-Organic Search-Direct-End",3093
"Direct-Organic Search-Social-End",4338
"Direct-Organic Search-Display-End",44
"Direct-Organic Search-Affiliate-End",72
"Direct-Organic Search-Paid Search-End",12856
"Direct-Display-Direct-Social-End",2293
"Direct-Display-Direct-Display-End",726
"Direct-Display-Direct-Affiliate-End",443
"Direct-Display-Direct-Paid Search-End",2271
"Direct-Display-Direct-Organic Search-End",159
"Direct-Display-Affiliate-Direct-End",406
"Direct-Display-Affiliate-Social-End",593
"Direct-Display-Affiliate-Display-End",216
"Direct-Display-Affiliate-Paid Search-End",581
"Direct-Display-Affiliate-Organic Search-End",27
"Direct-Display-Paid Search-Direct-End",2686
"Direct-Display-Paid Search-Social-End",14862
"Direct-Display-Paid Search-Display-End",1812
"Direct-Display-Paid Search-Affiliate-End",256
"Direct-Display-Paid Search-Organic Search-End",671
"Direct-Display-Organic Search-Direct-End",805
"Direct-Display-Organic Search-Social-End",634
"Direct-Display-Organic Search-Display-End",107
"Direct-Display-Organic Search-Affiliate-End",18
"Direct-Display-Organic Search-Paid Search-End",3300
"Direct-Affiliate-Direct-Social-End",2954
"Direct-Affiliate-Direct-Display-End",283
"Direct-Affiliate-Direct-Affiliate-End",1757
"Direct-Affiliate-Direct-Paid Search-End",1956
"Direct-Affiliate-Direct-Organic Search-End",253
